"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","Get user from token valid","test.Unit.service","2026-01-06","passed","2026-01-06","Test_Authentication_Service","Unit Tests","",""
"","1","Expense repo find by ID mock verification","test.Unit.service","2026-01-06","passed","2026-01-06","TestExpenseService","Unit Tests","",""
"","1","Submit expense invalid description","test.Unit.service","2026-01-06","passed","2026-01-06","TestExpenseService","Unit Tests","",""
"","4","Check status when not logged in","test.Api","2026-01-06","passed","2026-01-06","TestAuthApi","API Tests","",""
"","9","Cannot delete approved/denied expenses","test.Api","2026-01-06","passed","2026-01-06","TestExpenseController","API Tests","",""
"","4967","A expense with amount and description is submitted and can be seen in expenses -- @1.2 ","","2026-01-06","passed","2026-01-06","","","",""
"","1","Delete reviewed expense raises error","test.Unit.service","2026-01-06","passed","2026-01-06","TestExpenseService","Unit Tests","",""
"","2","Get expenses valid status","test.Unit.api","2026-01-06","passed","2026-01-06","TestExpenseController","Unit Tests","",""
"","9","View expenses by status","test.Api","2026-01-06","passed","2026-01-06","TestExpenseController","API Tests","",""
"","2350","Employee views history of expenses by filter -- @1.2 ","","2026-01-06","passed","2026-01-06","","","",""
"","15","Edit pending expense success","test.Api","2026-01-06","passed","2026-01-06","TestExpenseController","API Tests","",""
"","0","Delete invalid ID returns False","test.Unit.repository","2026-01-06","passed","2026-01-06","TestExpenseRepository","Unit Tests","",""
"","5088","A expense with amount, description, and date is submitted and can be seen in expenses -- @1.1 ","","2026-01-06","passed","2026-01-06","","","",""
"","5133","A expense with amount, description, and date is submitted and can be seen in expenses -- @1.2 ","","2026-01-06","passed","2026-01-06","","","",""
"","1","Update expense bad value throws error","test.Unit.service","2026-01-06","passed","2026-01-06","TestExpenseService","Unit Tests","",""
"","9","Check status when logged in","test.Api","2026-01-06","passed","2026-01-06","TestAuthApi","API Tests","",""
"","2147","Successful login with valid credentials","","2026-01-06","passed","2026-01-06","","","",""
"","1","Update expense bad value throws error","test.Unit.service","2026-01-06","passed","2026-01-06","TestExpenseService","Unit Tests","",""
"","1","Validate JWT token invalid string","test.Unit.service","2026-01-06","passed","2026-01-06","Test_Authentication_Service","Unit Tests","",""
"","1","Authenticate user wrong password","test.Unit.service","2026-01-06","passed","2026-01-06","Test_Authentication_Service","Unit Tests","",""
"","9","Cannot edit approved/denied expenses","test.Api","2026-01-06","passed","2026-01-06","TestExpenseController","API Tests","",""
"","0","Delete valid ID success","test.Unit.repository","2026-01-06","passed","2026-01-06","TestExpenseRepository","Unit Tests","",""
"","12145","Failed update for reviewed expense","","2026-01-06","passed","2026-01-06","","","",""
"","1","Update expense parameterized IDs","test.Unit.service","2026-01-06","passed","2026-01-06","TestExpenseService","Unit Tests","",""
"","9","test_status_service_error","test.Api","2026-01-06","passed","2026-01-06","TestAuthApi","API Tests","",""
"","2","Get expenses valid status","test.Unit.api","2026-01-06","passed","2026-01-06","TestExpenseController","Unit Tests","",""
"","12","View expenses by status","test.Api","2026-01-06","passed","2026-01-06","TestExpenseController","API Tests","",""
"","1","Submit expense no data failure","test.Unit.api","2026-01-06","passed","2026-01-06","TestExpenseController","Unit Tests","",""
"","1","Update expense parameterized IDs","test.Unit.service","2026-01-06","passed","2026-01-06","TestExpenseService","Unit Tests","",""
"","10","Logout","test.Api","2026-01-06","passed","2026-01-06","TestAuthApi","API Tests","",""
"","11","Cannot edit approved/denied expenses","test.Api","2026-01-06","passed","2026-01-06","TestExpenseController","API Tests","",""
"","1","Login invalid body","test.Unit.api","2026-01-06","passed","2026-01-06","Test_Auth_Controller","Unit Tests","",""
"","0","Update valid expense success","test.Unit.repository","2026-01-06","passed","2026-01-06","TestExpenseRepository","Unit Tests","",""
"","2808","Successful delete for pending expense","","2026-01-06","passed","2026-01-06","","","",""
"","10","Cannot delete approved/denied expenses","test.Api","2026-01-06","passed","2026-01-06","TestExpenseController","API Tests","",""
"","2504","The employee attempts to submit an expense with a missing field -- @1.1 ","","2026-01-06","passed","2026-01-06","","","",""
"","2","Find expenses with status for user","test.Unit.repository","2026-01-06","passed","2026-01-06","TestApprovalRepository","Unit Tests","",""
"","2","Submit expense valid amount success","test.Unit.api","2026-01-06","passed","2026-01-06","TestExpenseController","Unit Tests","",""
"","3","Submit expense security check","test.Api","2026-01-06","passed","2026-01-06","TestExpenseController","API Tests","",""
"","1","Login invalid body","test.Unit.api","2026-01-06","passed","2026-01-06","Test_Auth_Controller","Unit Tests","",""
"","1","Submit expense no amount failure","test.Unit.api","2026-01-06","passed","2026-01-06","TestExpenseController","Unit Tests","",""
"","3","Get expenses service exception","test.Unit.api","2026-01-06","passed","2026-01-06","TestExpenseController","Unit Tests","",""
"","0","Login with manager credentials (unauthorized)","test.Api","2026-01-06","skipped","2026-01-06","TestAuthApi","API Tests","",""
"","1","Authenticate user success","test.Unit.service","2026-01-06","passed","2026-01-06","Test_Authentication_Service","Unit Tests","",""
"","1","Submit expense no description failure","test.Unit.api","2026-01-06","passed","2026-01-06","TestExpenseController","Unit Tests","",""
"","2407","The employee attempts to submit an expense with a missing field -- @1.2 ","","2026-01-06","passed","2026-01-06","","","",""
"","13","Submit expense success","test.Api","2026-01-06","passed","2026-01-06","TestExpenseController","API Tests","",""
"","12","Check status after logout","test.Api","2026-01-06","passed","2026-01-06","TestAuthApi","API Tests","",""
"","1","Submit expense invalid amount failure","test.Unit.api","2026-01-06","passed","2026-01-06","TestExpenseController","Unit Tests","",""
"","2475","The employee attempts to submit an expense with a missing field -- @1.3 ","","2026-01-06","passed","2026-01-06","","","",""
"","1","Submit expense invalid amount failure","test.Unit.api","2026-01-06","passed","2026-01-06","TestExpenseController","Unit Tests","",""
"","2647","Successful update for pending expense","","2026-01-06","passed","2026-01-06","","","",""
"","1","Submit expense valid amount success","test.Unit.api","2026-01-06","passed","2026-01-06","TestExpenseController","Unit Tests","",""
"","0","Update expense bad value throws error","test.Unit.service","2026-01-06","passed","2026-01-06","TestExpenseService","Unit Tests","",""
"","1","Get user expenses with status multiple expenses","test.Unit.service","2026-01-06","passed","2026-01-06","TestExpenseService","Unit Tests","",""
"","12162","Failed update for reviewed expense","","2026-01-06","passed","2026-01-06","","","",""
"","1","Submit expense invalid amount (negative)","test.Unit.service","2026-01-06","passed","2026-01-06","TestExpenseService","Unit Tests","",""
"","1","Get user expenses with status empty result","test.Unit.service","2026-01-06","passed","2026-01-06","TestExpenseService","Unit Tests","",""
"","1","Require employee auth - no token","test.Unit.api","2026-01-06","passed","2026-01-06","TestAuthMiddleware","Unit Tests","",""
"","2272","Employee views history of expenses by filter -- @1.1 ","","2026-01-06","passed","2026-01-06","","","",""
"","1","Submit expense service failure","test.Unit.api","2026-01-06","passed","2026-01-06","TestExpenseController","Unit Tests","",""
"","1","Submit expense invalid amount failure","test.Unit.api","2026-01-06","passed","2026-01-06","TestExpenseController","Unit Tests","",""
"","2","Login invalid body","test.Unit.api","2026-01-06","passed","2026-01-06","Test_Auth_Controller","Unit Tests","",""
"","1109","Unsuccessful login with manager credentials","","2026-01-06","passed","2026-01-06","","","",""
"","0","Get user by ID","test.Unit.service","2026-01-06","passed","2026-01-06","Test_Authentication_Service","Unit Tests","",""
"","1","Submit expense invalid amount failure","test.Unit.api","2026-01-06","passed","2026-01-06","TestExpenseController","Unit Tests","",""
"","1","Update expense parameterized IDs","test.Unit.service","2026-01-06","passed","2026-01-06","TestExpenseService","Unit Tests","",""
"","0","Validate JWT token valid","test.Unit.service","2026-01-06","passed","2026-01-06","Test_Authentication_Service","Unit Tests","",""
"","2","Require employee auth - success","test.Unit.api","2026-01-06","passed","2026-01-06","TestAuthMiddleware","Unit Tests","",""
"","3","Login valid user","test.Unit.api","2026-01-06","passed","2026-01-06","Test_Auth_Controller","Unit Tests","",""
"","0","Update expense bad value throws error","test.Unit.service","2026-01-06","passed","2026-01-06","TestExpenseService","Unit Tests","",""
"","1109","Unsuccessful login with invalid credentials -- @1.2 ","","2026-01-06","passed","2026-01-06","","","",""
"","1","Delete expense parameterized","test.Unit.service","2026-01-06","passed","2026-01-06","TestExpenseService","Unit Tests","",""
"","1","Get expenses no status","test.Unit.api","2026-01-06","passed","2026-01-06","TestExpenseController","Unit Tests","",""
"","0","Update expense parameterized IDs","test.Unit.service","2026-01-06","passed","2026-01-06","TestExpenseService","Unit Tests","",""
"","5","Login service failure","test.Api","2026-01-06","passed","2026-01-06","TestAuthApi","API Tests","",""
"","7","Manager cannot view employee expenses via this endpoint","test.Api","2026-01-06","passed","2026-01-06","TestExpenseController","API Tests","",""
"","10","View own expenses only","test.Api","2026-01-06","passed","2026-01-06","TestExpenseController","API Tests","",""
"","1","Login invalid body","test.Unit.api","2026-01-06","passed","2026-01-06","Test_Auth_Controller","Unit Tests","",""
